date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:44	47249/47249	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-b899%22	https://templates.hibootstrap.com/sanu/default/assets/images/podcasts/podcasts-2.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/podcasts/podcasts-2.jpg	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:46:44	36525/36525	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-8eb5%22	https://templates.hibootstrap.com/sanu/default/assets/images/podcasts/podcasts-3.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/podcasts/podcasts-3.jpg	(from https://templates.hibootstrap.com/sanu/default/index.html)
15:46:45	211240/211240	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-33930%22	https://templates.hibootstrap.com/sanu/default/assets/images/campus-information/campus-2.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/campus-information/campus-2.jpg	(from https://templates.hibootstrap.com/sanu/default/index-3.html)
15:46:45	66207/66207	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-102a7%22	https://templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-5.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-5.jpg	(from https://templates.hibootstrap.com/sanu/default/index-3.html)
15:46:45	113419/113419	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-1bb13%22	https://templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-6.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-6.jpg	(from https://templates.hibootstrap.com/sanu/default/index-3.html)
15:46:45	150395/150395	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-24b83%22	https://templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-7.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/health-care/health-care-7.jpg	(from https://templates.hibootstrap.com/sanu/default/index-3.html)
15:46:46	175452/175452	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-2ad64%22	https://templates.hibootstrap.com/sanu/default/assets/images/news/news-4.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/news/news-4.jpg	(from https://templates.hibootstrap.com/sanu/default/index-3.html)
15:46:47	94096/94096	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-16f90%22	https://templates.hibootstrap.com/sanu/default/assets/images/academics/academic-8.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/academics/academic-8.jpg	(from https://templates.hibootstrap.com/sanu/default/academics-details.html)
15:46:47	80990/80990	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-13c5e%22	https://templates.hibootstrap.com/sanu/default/assets/images/academics/academic-9.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/academics/academic-9.jpg	(from https://templates.hibootstrap.com/sanu/default/academics-details.html)
15:46:48	125634/125634	---M--	200	added ('OK')	image/jpeg	etag:%2266496def-1eac2%22	https://templates.hibootstrap.com/sanu/default/assets/images/news/news-6.jpg	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/news/news-6.jpg	(from https://templates.hibootstrap.com/sanu/default/latest-news.html)
15:46:48	10904664/10904664	---M--	200	added ('OK')	video/mp4	etag:%2266496def-a66458%22	https://templates.hibootstrap.com/sanu/default/assets/images/the-hague-27994.mp4	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/the-hague-27994.mp4	(from https://templates.hibootstrap.com/sanu/default/index-5.html)
